Phase H4.0 Municipality Layer Audit

Global:
  municipality_ids in substrate: 141
  mun1990_ids represented: 0
  missing from mun1990_names: 0
  missing from post1995 mapping: 0
  name mismatch (names vs mapping): 0
  census_available: true, census_settlement_count: 6140

Per municipality (stable-sorted by municipality_id):
  10928 | Vogošća | mun1990: (missing/conflict) | settlements: 21 (in_graph: 21, ungraphed: 0) | control RBiH=0 RS=21 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10987 | Srebrenik | mun1990: (missing/conflict) | settlements: 49 (in_graph: 49, ungraphed: 0) | control RBiH=49 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11045 | Tešanj | mun1990: (missing/conflict) | settlements: 41 (in_graph: 41, ungraphed: 0) | control RBiH=41 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11061 | Travnik | mun1990: (missing/conflict) | settlements: 90 (in_graph: 90, ungraphed: 0) | control RBiH=90 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11088 | Tuzla | mun1990: (missing/conflict) | settlements: 66 (in_graph: 66, ungraphed: 0) | control RBiH=66 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11100 | Vareš | mun1990: (missing/conflict) | settlements: 85 (in_graph: 85, ungraphed: 0) | control RBiH=85 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11118 | Velika Kladuša | mun1990: (missing/conflict) | settlements: 49 (in_graph: 49, ungraphed: 0) | control RBiH=49 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11126 | Visoko | mun1990: (missing/conflict) | settlements: 88 (in_graph: 88, ungraphed: 0) | control RBiH=88 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11142 | Vitez | mun1990: (missing/conflict) | settlements: 34 (in_graph: 34, ungraphed: 0) | control RBiH=0 RS=0 HRHB=34 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11177 | Zavidovići | mun1990: (missing/conflict) | settlements: 47 (in_graph: 47, ungraphed: 0) | control RBiH=47 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11185 | Zenica | mun1990: (missing/conflict) | settlements: 83 (in_graph: 83, ungraphed: 0) | control RBiH=83 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11207 | Žepče | mun1990: (missing/conflict) | settlements: 41 (in_graph: 41, ungraphed: 0) | control RBiH=0 RS=0 HRHB=41 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11215 | Živinice | mun1990: (missing/conflict) | settlements: 29 (in_graph: 29, ungraphed: 0) | control RBiH=29 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11231 | Lopare | mun1990: (missing/conflict) | settlements: 20 (in_graph: 20, ungraphed: 0) | control RBiH=0 RS=20 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11258 | Doboj | mun1990: (missing/conflict) | settlements: 6 (in_graph: 6, ungraphed: 0) | control RBiH=0 RS=6 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11266 | Doboj | mun1990: (missing/conflict) | settlements: 2 (in_graph: 2, ungraphed: 0) | control RBiH=0 RS=2 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11274 | Skender Vakuf | mun1990: (missing/conflict) | settlements: 18 (in_graph: 18, ungraphed: 0) | control RBiH=0 RS=18 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11282 | Bosanski Šamac | mun1990: (missing/conflict) | settlements: 5 (in_graph: 5, ungraphed: 0) | control RBiH=0 RS=0 HRHB=5 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11304 | Trebinje | mun1990: (missing/conflict) | settlements: 54 (in_graph: 54, ungraphed: 0) | control RBiH=0 RS=54 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11312 | Zvornik | mun1990: (missing/conflict) | settlements: 13 (in_graph: 13, ungraphed: 0) | control RBiH=13 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11339 | Ugljevik | mun1990: (missing/conflict) | settlements: 10 (in_graph: 10, ungraphed: 0) | control RBiH=0 RS=10 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11410 | Mostar | mun1990: (missing/conflict) | settlements: 60 (in_graph: 60, ungraphed: 0) | control RBiH=0 RS=0 HRHB=60 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11428 | Bosanska Krupa | mun1990: (missing/conflict) | settlements: 37 (in_graph: 37, ungraphed: 0) | control RBiH=37 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
